x_GeV_per_c2,y_cm2
2.016209202479399831e+00,2.439475646797715267e-42
2.018520031311778595e+00,2.422973800849504097e-42
2.020833508644067411e+00,2.407492685424590922e-42
2.023149637511779897e+00,2.391553238172329601e-42
2.025468420953909110e+00,2.375876894962829865e-42
2.027789862012930211e+00,2.360496862778905920e-42
2.030113963734805793e+00,2.345445477528494661e-42
2.032440729168989879e+00,2.330610912321989886e-42
2.034770161368430141e+00,2.315626942724236985e-42
2.037102263389575008e+00,2.301254302721358272e-42
2.039437038292374993e+00,2.286405031749914621e-42
2.041774489140288473e+00,2.271763895335598635e-42
2.044114619000283906e+00,2.257998396981080864e-42
2.046457430942845601e+00,2.243717732191448943e-42
2.048802928041977278e+00,2.229594600464214184e-42
2.051151113375204726e+00,2.215656551414433979e-42
2.053501990023581580e+00,2.201930429633929752e-42
2.055855561071694204e+00,2.187997505473860454e-42
2.058211829607661247e+00,2.174197314190767329e-42
2.060570798723142971e+00,2.160860924819897418e-42
2.062932471513343025e+00,2.146963652053478858e-42
2.065296851077011109e+00,2.133513602536883104e-42
2.067663940516450083e+00,2.120163153416059090e-42
2.070033742937517740e+00,2.106573347569277943e-42
2.072406261449631248e+00,2.093727502308190302e-42
2.074781499165772036e+00,2.080332229924738275e-42
2.077159459202488900e+00,2.067007702366866909e-42
2.079540144679903335e+00,2.054067221063006034e-42
2.081923558721712642e+00,2.040887540377945467e-42
2.084309704455193923e+00,2.028421454345835044e-42
2.086698585011208529e+00,2.015416048185409788e-42
2.089090203524206935e+00,2.002817877299187800e-42
2.091484563132230523e+00,1.990300856449384430e-42
2.093881666976919131e+00,1.977547018039104413e-42
2.096281518203512384e+00,1.965479677376143214e-42
2.098684119960854577e+00,1.952884892963133563e-42
2.101089475401399120e+00,1.940679938533902764e-42
2.103497587681212533e+00,1.928548935844345882e-42
2.105908459959979329e+00,1.916183871297639014e-42
2.108322095401004237e+00,1.904479496352779507e-42
2.110738497171217976e+00,1.892259627705906156e-42
2.113157668441181691e+00,1.880413154997422135e-42
2.115579612385088737e+00,1.868369109078442490e-42
2.118004332180772220e+00,1.856415637052399914e-42
2.120431831009706780e+00,1.845095248877283516e-42
2.122862112057012585e+00,1.833268571217755531e-42
2.125295178511461991e+00,1.821796903656908180e-42
2.127731033565481322e+00,1.810127203407170305e-42
2.130169680415154421e+00,1.798538761099707691e-42
2.132611122260231085e+00,1.787303812692410982e-42
2.135055362304125737e+00,1.775879688663917359e-42
2.137502403753926306e+00,1.764790541181437367e-42
2.139952249820395114e+00,1.753500802500335287e-42
2.142404903717975095e+00,1.742281185661854719e-42
2.144860368664792905e+00,1.731395574083055806e-42
2.147318647882664244e+00,1.720318432815733542e-42
2.149779744597096975e+00,1.709610243341818739e-42
2.152243662037295557e+00,1.698751346380922649e-42
2.154710403436165489e+00,1.687951244185214679e-42
2.157179972030318638e+00,1.677227895694920776e-42
2.159652371060075460e+00,1.666598797739207632e-42
2.162127603769470330e+00,1.656080994228985415e-42
2.164605673406255537e+00,1.645691087124861919e-42
2.167086583221906615e+00,1.635112774753471053e-42
2.169570336471624117e+00,1.624876951148688900e-42
2.172056936414341610e+00,1.614487915319698189e-42
2.174546386312725677e+00,1.604469235357479929e-42
2.177038689433183460e+00,1.594556951436143563e-42
2.179533849045866223e+00,1.584493608557395605e-42
2.182031868424671561e+00,1.574793034970686488e-42
2.184532750847250959e+00,1.564704221625093189e-42
2.187036499595012007e+00,1.555226072701860072e-42
2.189543117953123286e+00,1.545612231218084198e-42
2.192052609210518366e+00,1.536098570607275689e-42
2.194564976659900690e+00,1.526698699196809016e-42
2.197080223597746240e+00,1.517164052015249972e-42
2.199598353324311972e+00,1.507984605166297398e-42
2.202119369143634042e+00,1.498697853846917517e-42
2.204643274363537575e+00,1.489741511740810365e-42
2.207170072295638885e+00,1.480659059657685415e-42
2.209699766255348141e+00,1.471674571971426197e-42
2.212232359561877804e+00,1.462799283568452417e-42
2.214767855538242625e+00,1.454044148218506307e-42
2.217306257511265866e+00,1.445170443031213097e-42
2.219847568811585958e+00,1.436642951331548525e-42
2.222391792773656061e+00,1.427975313391364273e-42
2.224938932735752939e+00,1.419627174830742883e-42
2.227488992039977855e+00,1.411161743976636839e-42
2.230041974032263674e+00,1.402790774952202012e-42
2.232597882062377970e+00,1.394523273884872869e-42
2.235156719483927468e+00,1.386128810064739958e-42
2.237718489654361598e+00,1.378051733964728692e-42
2.240283195934980043e+00,1.369866269862041365e-42
2.242850841690932739e+00,1.362011239916596230e-42
2.245421430291227871e+00,1.354065554663861426e-42
2.247994965108734089e+00,1.346188949699105144e-42
2.250571449520185840e+00,1.338388827742732417e-42
2.253150886906188699e+00,1.330672412451497980e-42
2.255733280651222472e+00,1.323046753090436453e-42
2.258318634143644310e+00,1.315518729581968646e-42
2.260906950775698032e+00,1.307869348241120244e-42
2.263498233943511906e+00,1.300516287860173158e-42
2.266092487047109305e+00,1.292833156137970781e-42
2.268689713490409154e+00,1.285639046050389864e-42
2.271289916681232146e+00,1.278311382950025515e-42
2.273893100031304737e+00,1.271039279355899679e-42
2.276499266956263146e+00,1.263828357949819637e-42
2.279108420875658680e+00,1.256684107874763548e-42
2.281720565212961738e+00,1.249611887732320802e-42
2.284335703395567574e+00,1.242402517281434000e-42
2.286953838854797638e+00,1.235451638840101357e-42
2.289574975025908010e+00,1.228375066334260550e-42
2.292199115348089844e+00,1.221563798458174707e-42
2.294826263264479138e+00,1.214637811428319940e-42
2.297456422222155403e+00,1.207946414653436608e-42
2.300089595672150100e+00,1.201114291729731573e-42
2.302725787069449304e+00,1.194524043906864532e-42
2.305364999873000809e+00,1.187804362406993218e-42
2.308007237545713686e+00,1.181129603393878864e-42
2.310652503554469384e+00,1.174503683134106001e-42
2.313300801370119508e+00,1.167930425355877042e-42
